what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,org.eclipse.jst.j2ee.J2EEPerspective,1392894380556
started,bundle,org.eclipse.osgi,3.4.0.v20080605-1900,org.eclipse.osgi,1392894380557
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.0.v20080604,org.eclipse.equinox.simpleconfigurator,1392894380557
started,bundle,com.ibm.icu,3.8.1.v20080530,com.ibm.icu,1392894380558
started,bundle,org.eclipse.core.contenttype,3.3.0.v20080604-1400,org.eclipse.core.contenttype,1392894380559
started,bundle,org.eclipse.core.databinding,1.1.0.I20080527-2000,org.eclipse.core.databinding,1392894380559
started,bundle,org.eclipse.core.expressions,3.4.0.v20080603-2000,org.eclipse.core.expressions,1392894380560
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1392894380560
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1392894380561
started,bundle,org.eclipse.core.jobs,3.4.0.v20080512,org.eclipse.core.jobs,1392894380564
started,bundle,org.eclipse.core.net,1.1.0.I20080604,org.eclipse.core.net,1392894380564
started,bundle,org.eclipse.core.resources,3.4.0.v20080604-1400,org.eclipse.core.resources,1392894380565
started,bundle,org.eclipse.core.runtime,3.4.0.v20080512,org.eclipse.core.runtime,1392894380565
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20071008,org.eclipse.core.runtime.compatibility,1392894380566
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20070502,org.eclipse.core.runtime.compatibility.auth,1392894380566
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1392894380567
started,bundle,org.eclipse.equinox.app,1.1.0.v20080421-2006,org.eclipse.equinox.app,1392894380568
started,bundle,org.eclipse.equinox.common,3.4.0.v20080421-2006,org.eclipse.equinox.common,1392894380568
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.0.v20080430-1750,org.eclipse.equinox.frameworkadmin,1392894380569
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.0.v20080529-1225,org.eclipse.equinox.frameworkadmin.equinox,1392894380569
started,bundle,org.eclipse.equinox.p2.core,1.0.0.v20080530-1237,org.eclipse.equinox.p2.core,1392894380570
started,bundle,org.eclipse.equinox.p2.director,1.0.0.v20080604,org.eclipse.equinox.p2.director,1392894380570
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.0.v20080505-1850,org.eclipse.equinox.p2.directorywatcher,1392894380570
started,bundle,org.eclipse.equinox.p2.engine,1.0.0.v20080522-1735,org.eclipse.equinox.p2.engine,1392894380571
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1392894380571
