what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1420377691563
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.0.v20080506-1939,org.eclipse.equinox.p2.garbagecollector,1420377691564
started,bundle,org.eclipse.equinox.p2.metadata,1.0.0.v20080514-1900,org.eclipse.equinox.p2.metadata,1420377691564
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1420377691567
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.0.v20080611,org.eclipse.equinox.p2.reconciler.dropins,1420377691568
started,bundle,org.eclipse.equinox.p2.ui,1.0.0.v20080530-1237,org.eclipse.equinox.p2.ui,1420377691568
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk,1420377691569
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1420377691569
started,bundle,org.eclipse.equinox.preferences,3.2.200.v20080421-2006,org.eclipse.equinox.preferences,1420377691570
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1420377691571
started,bundle,org.eclipse.equinox.security,1.0.0.v20080512-1800,org.eclipse.equinox.security,1420377691572
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.0.v20080427-2136,org.eclipse.equinox.simpleconfigurator.manipulator,1420377691573
started,bundle,org.eclipse.help,3.3.100.v20080610,org.eclipse.help,1420377691573
started,bundle,org.eclipse.jface,3.4.0.I20080606-1300,org.eclipse.jface,1420377691574
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1420377691574
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1420377691575
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1420377691576
started,bundle,org.eclipse.team.core,3.4.0.I20080605,org.eclipse.team.core,1420377691576
started,bundle,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui,1420377691577
started,bundle,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui,1420377691578
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1420377691579
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1420377691580
started,bundle,org.eclipse.ui.forms,3.3.100.v20080611,org.eclipse.ui.forms,1420377691582
started,bundle,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.ide,1420377691583
started,bundle,org.eclipse.ui.navigator,3.3.100.I20080606-1300,org.eclipse.ui.navigator,1420377691583
